23.148.145.0/24 ; spammer
167.248.133.0/24 ; spammer 
194.150.215.0/24 ; Russian spammer
162.142.125.0/24 ; censys
167.94.138.0/24 ; censys
167.94.145.0/24 ; censys
167.94.146.0/24 ; censys
167.248.133.0/24 ; censys
192.35.168.0/23 ; censys
216.218.206.64/26 ; shadow server
66.220.23.112/29 ; shadow server
74.82.47.0/26 ; shadow server
216.218.185.160/29 ; shadow server
72.52.106.100/30 ; shadow server
64.62.202.96/27 ; shadow server
184.105.143.128/26 ; shadow server
184.105.192.0/29 ; shadow server
184.105.139.64/26 ; shadow
184.105.247.192/26 ; shadow
141.212.0.0/16 ; shadow
144.86.173.0/24 ; PAN
94.26.229.0/24 ; russian spammer
194.58.0.0/17 ; russian spammer
185.137.0.0/17 ; russian spammer
5.188.119.0/24 ; russian spammer
45.133.245.0/24 ; russian spammer
109.237.0.0/16 ; block a broader range to prevent russian bots.
191.209.10.0/23 ; brazilian spammer
45.138.74.0/24 ; spammer
91.103.252.0/24 ; spammer
194.110.134.0/24 ; spammer
85.204.116.0/24 ; spammer
89.32.41.128/25 ; spammer
