31.130.184.32 ; brute force
193.242.145.12 ; fcking bot
120.85.93.148 ; fcking bot
106.13.90.51 ; fcking bot
45.146.164.110 ; fcking bot
77.247.110.227 ; fcking bot
212.70.149.88 ; fcking bot
45.9.20.16 ; fcking bot
45.133.1.252 ; fcking bot
194.61.24.154 ; LOGIN authentication failed: authentication failure
194.61.24.155 ; LOGIN authentication failed: authentication failure
37.0.10.88 ; LOGIN authentication failed: authentication failure
203.159.80.219 ; LOGIN authentication failed: authentication failure
31.130.184.201
125.19.17.20 ; found this seems to be a spammer from india.
35.227.207.240 ; incoming.telemetry.mozilla.org some telementry servers i do not want to send data to.
95.216.34.149 ; bot sweeper
107.175.247.181 : spammer
65.181.123.117 ; spammer
91.103.252.115 ; spammer
172.107.174.16 ; spammer
109.237.103.130 ; spammer
